user|time|tweet|latitude|longitude
anaalicechagas|Mon Mar 16 16:20:36 +0000 2015|So porque ta famosa agora hahahaha #minadochoque #seacha  @ Fmu - Campus Vergueiro ll https://t.co/TVrvboYlwS|-23.57988198|-46.63918433
scarIettohara|Mon Mar 16 15:52:58 +0000 2015|Me inscrevi para assistir A Dama de Ferro no Cinema &amp; Pipoca da FMU.||
Gui_Uda1|Mon Mar 16 15:48:06 +0000 2015|Medicina Veterinaria requer Valor  #MedVet #FMU https://t.co/DIlj2YTqNa||
carlosmamute|Mon Mar 16 15:37:43 +0000 2015|Da uma olhada nessa reclamacao contra Complexo Educacional FMU no @ReclameAQUI - ... http://t.co/EW9nFlv5Qi||
Gui_Uda1|Mon Mar 16 15:26:54 +0000 2015|Mais um dia no laboratorio de anatomia   #MedVet #FMU #SistemaDigestorio #SistemaRespiratorio... https://t.co/mlW9DOQUcN|-23.61345598|-46.7040876
Ironzinho|Mon Mar 16 14:55:27 +0000 2015|So de pensar que tenho que pegar o trem pra ir na FMU hoje, to tristao!||
_ellenmendes|Mon Mar 16 14:50:20 +0000 2015|Educacao fisica da fmu ta de parabens hen  acho que to no curso errado e na instituicao errada hen kkkkkkk http://t.co/A0TynaG4vG||
FelipeVadaO|Mon Mar 16 14:41:33 +0000 2015|Ansioso! Sabado vai ser top a Festa da FMU no Club33 ||
segueabiaa|Mon Mar 16 14:21:34 +0000 2015|So quero transferi minha matricula da fmu pra Damasio!!!! E pedir muito ?????????||
_bruunareis|Mon Mar 16 14:03:35 +0000 2015|Labuta nossa de cada dia !  @ Faculdade Metropolitana Unidas - FMU Liberdade https://t.co/p7qgu5kDzO|-23.56079689|-46.63744991
AlexMartins_|Mon Mar 16 13:26:46 +0000 2015|Estudando  (@ FMU - Campus Ana Rosa in SAO PAULO) https://t.co/Jb4DfZM7Cr|-23.57974812|-46.639246
loveckz|Mon Mar 16 13:11:28 +0000 2015|I'm at FMU - Campus Ana Rosa in SAO PAULO https://t.co/DYGlkoidZN|-23.57974812|-46.639246
glonorino|Mon Mar 16 12:54:24 +0000 2015|Juro que nao falei meu nome! Simplismente pedi e veio assim! #glonorino #cocaZero @ FMU Vila Mariana... https://t.co/07xhHvVyKE|-23.5885327|-46.63425093
WannessaR|Mon Mar 16 12:35:53 +0000 2015|Entrei no grupo FMU para garotas, onde as meninas de la sao lesbicas pq postam td dia algo relacionado..||
