"";"V1";"V2"
"2";0,00742489795760613;0
"6";0,00742469998334604;0
"9";0,00742329914463684;0
"12";0,00742456479360686;0
"14";0,00742352653116872;0
"18";0,00742276867354406;0
"19";0,0074141797817984;0
"31";0,00743244499823149;0
"34";0,007423220604294;0
"41";0,0414022113516225;0
"43";0,00742237783859249;0
"46";-0,0583269853914328;0
"47";0,412858768756413;0
"48";0,00742517843047978;0
"50";-0,00114359709338279;0
"53";0,0074257043863621;0
"54";0,272534371723695;0
"55";0,00742493708143897;0
"59";0,00742511364567636;0
"61";0,00742798874641414;0
"67";0,271502118504632;0
"68";-0,00737144994219873;0
"71";0,0413790845608745;0
"74";0,00741320747648568;0
"80";0,00403495297050521;0
"83";0,00742275785310102;0
"90";0,00742375289972468;0
"93";0,297415640885918;0
"95";-0,0612451129996966;0
"97";0,00849893731417432;0
"100";0,00742667033768361;0
"101";-0,00349602318210641;0
"104";0,00742234011967823;0
"105";0,00580404196715359;0
"106";0,00742410712813167;0
"107";0,00743133193092992;0
"111";0,00742754939323285;0
"113";0,00742589934860541;0
"114";0,00743001049379087;0
"115";0,00742554808499422;0
"118";-0,0608666158409885;0
"120";-0,0324177466570227;0
"121";-0,0601174631580902;0
"124";0,00742323949007477;0
"125";0,00743573901158025;0
"139";0,115469428365254;0
"148";0,00742435931734807;0
"149";0,00742545286622157;0
"150";0,110460074568253;0
"164";0,13499121170501;0
"169";0,30585831203896;1
"173";0,00710311088332859;0
"179";0,0215753673716687;0
"180";0,340734050973833;0
"186";0,00742596998504667;0
"194";0,00742302432928026;0
"195";0,00742693494215078;0
"196";0,00742729261556137;0
"199";0,00742984178583593;0
"210";0,00742549843107713;0
"212";0,00742446831430131;0
"214";0,00742560686539272;0
"225";0,404384723368609;0
"232";0,312722141131407;0
"237";0,00742566693335582;0
"239";0,00742850713348074;0
"241";0,00742402526163154;0
"245";0,0414015111622348;0
"249";0,00742656931096063;0
"255";0,00742486955054909;0
"257";0,00742339782646527;0
"259";0,00743586005708186;0
"260";0,00742701222909702;0
"265";0,00742828001153177;0
"267";0,00742579743841103;0
"269";0,00742318689950831;0
"271";0,137961186483922;1
"273";0,00742201318921036;0
"275";0,00742286639974392;0
"276";0,00742278724715577;0
"280";0,00544345608204527;0
"283";0,0120631260998697;0
"286";0,00742602510055516;0
"292";0,341036756499571;0
"294";-0,020765449269603;0
"295";0,00742958620921062;0
"297";0,0074238271480787;0
"298";0,00746480982148421;0
"299";0,00742346708101187;0
"308";0,00742229506729646;0
"310";0,00742252277445701;0
"311";0,00742304125461589;0
"312";0,0074234556333531;0
"313";0,00744113733285794;0
"315";0,00744492444883406;0
"316";-0,061318174148793;0
"317";0,00848949746095598;0
"319";0,00183740229107972;0
"320";0,00743378528647133;0
"322";0,00742506258732749;0
"326";0,00747739603382604;0
"328";0,00743583683133124;0
"330";0,0074241533621681;0
"334";0,00742301601250843;0
"335";0,0120207738887783;0
"336";0,00742224137406565;0
"337";0,00742393090431619;0
"339";-0,0275400106822021;0
"342";0,00742252708929429;0
"345";0,00742218971504015;0
"348";0,189265499567938;0
"362";0,0402897528354953;0
"369";0,00744415930253954;0
"372";0,00742648224515084;0
"375";0,007425135954073;0
"378";0,00742788159265982;0
"380";0,00742539709943905;0
"383";0,0125376046757932;0
"385";0,00747021360344582;0
"389";0,369903457995696;1
"392";0,0120173283436932;0
"395";0,340726989969084;0
"397";0,0074289847385438;0
"400";0,00742477761505166;0
"405";-0,0402317880666852;0
"407";0,152554756194564;0
"410";0,0414024724033549;0
"412";0,206273975725186;0
"414";0,00742448734987831;0
"415";0,0233576762785168;0
"423";0,00746801699904454;0
"427";0,0333133175125873;0
"428";0,0413997854377866;0
"433";0,00742637392952593;0
"436";0,00742475848255796;0
"440";0,00742463775392808;0
"441";0,00743052816713144;0
"445";0,00742433668673302;0
"451";0,00743895970999554;0
"456";0,0074635316445852;0
"462";0,00742721908845166;0
"464";0,00742269641600705;0
"466";0,00743911342198872;0
"468";0,160137645067988;0
"469";0,00742413164963905;0
"474";0,00751838488035022;0
"475";0,64438127266799;1
"482";0,00742445839539478;0
"484";0,00731300436312896;0
"487";0,0166701347764183;0
"489";0,0074263291343286;0
"490";0,00702202733857835;0
"493";0,00743047331437849;0
"501";0,00742582763773895;0
"504";0,00743174852638458;0
"510";0,0067335268795035;0
"512";0,00742584746961393;0
"513";0,342073541558355;1
"518";0,00742674852705837;0
"521";0,0407359118393549;0
"526";0,0347827939977617;0
"529";0,0524719232614764;0
"533";0,00742673679789661;0
"538";0,00741617128472469;0
"542";0,00742644001887276;0
"543";0,00742576388546805;0
"545";0,00742239186859366;0
"549";0,00742713876780625;0
"555";0,00742314159093642;0
"556";0,00742350902242521;0
"561";0,0413994055195188;0
"573";0,00743584546459643;0
"576";0,00742524368165735;0
"579";0,007425851908107;0
"580";0,236066748969401;0
"582";0,0074252040323549;0
"583";0,0414037364708427;0
"585";0,00742264523536028;0
"586";0,00742390732099328;0
"593";0,0120154700973763;0
"607";0,00729107089344888;0
"621";0,00742691829960175;0
"623";0,0074237235929303;0
"624";-0,0613467073162126;0
"629";0,019358646430133;0
"630";0,00742273304381934;0
"633";0,00742762349440666;0
"634";0,0136431113551624;0
"638";0,01218604605137;0
"641";0,00759278308780133;0
"644";0,00739488044556165;0
"646";0,00742884104915269;0
"647";0,0117594050969515;0
"648";0,00744925829767455;0
"649";0,123404371187666;0
"652";0,00742607769745145;0
"653";0,0072960467158141;0
"655";0,00762917188351542;0
"658";-0,00902478778593836;0
"659";0,00571378610112032;0
"665";0,00744197546992063;0
"666";0,0074253071641379;0
"684";0,00743363711808497;0
"685";0,00742264950995163;0
"686";0,00742456279807406;0
"691";0,0414140139647402;0
"693";0,00743446610618044;0
"694";0,0413535243649988;0
"695";0,525411624962233;1
"696";0,041129095254865;0
"702";0,00742825488430725;0
"704";0,00742417404009009;0
"708";0,00743776879557805;0
"717";0,330936919950083;0
"722";0,00742291373444702;0
"723";0,00742435072374663;0
"725";0,0074232923552827;0
"726";0,309615762337428;0
"727";0,00742309006724061;0
"728";0,00742228434509533;0
"729";0,421718426280551;0
"745";0,00742210013768656;0
"747";-0,0602267069888213;0
"752";0,00742236574524945;0
"754";0,105559147527751;0
"758";0,0120876151863232;0
"760";-0,00390617218164864;0
"761";0,00761494811550688;0
"764";0,00758820754794236;0
"769";0,00745127673746236;0
"786";0,341088257773559;0
"788";0,00726611813422993;0
"789";0,00748372706883869;0
"791";0,00746590828940388;0
"795";0,0414117797534407;0
"807";0,00742422627456922;0
"813";0,00742920423602066;0
"817";0,00742485032823569;0
